run_id,profile,checkpoint,gamma,seed,step,layer,status,training_loss,training_accuracy,test_accuracy,ntk_drift,weight_displacement,cka_drift,effective_rank,local_q01,local_normalized_q01,task_jacobian,nuisance_jacobian,global_q01,global_normalized_q01,collision_score,linear_nuisance_cosine,mlp_nuisance_cosine,linear_task_accuracy,mlp_task_accuracy,ph_h1_top1,ph_h1_top2
a1dbfdb26a4eaf3b,03878c8d9b9954cd,step_0000000,1.0,1,0,3,converged,1.3862946044921876,0.2496,0.256,0.0,,0.0,13.17694484888675,2.5116138458251953,0.7773213982582092,3.6542835235595703,3.7394051551818848,1.2810767889022827,0.3964814979745464,0.15351954102516174,0.9999489784240723,0.9991095066070557,0.989,0.984,0.6593608061472574,0.6253043214480082
a1dbfdb26a4eaf3b,03878c8d9b9954cd,step_0000000,1.0,1,0,4,converged,1.3862946044921876,0.2496,0.256,0.0,,1.2212453270876722e-15,14.41621406830372,2.382180690765381,0.812596321105957,3.615731716156006,3.7210092544555664,1.1376222372055054,0.38805941077518297,0.16049417853355408,0.9998883008956909,0.999147355556488,0.988,0.986,0.5921048323313395,0.5353928407033285
a1dbfdb26a4eaf3b,03878c8d9b9954cd,final,1.0,1,64,1,converged,0.0756195198059082,0.9738,0.968,1.8034225702285767,0.05170960185681774,0.0010685094413196428,8.066559117025808,3.172614574432373,0.7219904065132141,3.916127920150757,3.7563045024871826,1.8597840070724487,0.4232301755945515,0.1406787633895874,0.9999963641166687,0.9997015595436096,0.993,0.993,0.8071076969305674,0.7366452912489573
a1dbfdb26a4eaf3b,03878c8d9b9954cd,final,1.0,1,64,2,converged,0.0756195198059082,0.9738,0.968,1.8034225702285767,0.05170960185681774,0.09566897479424419,9.033817420713577,2.8887290954589844,0.6431919932365417,5.006608009338379,3.6498663425445557,1.7786197662353516,0.3960198373234159,0.17715254426002502,0.9999686479568481,0.9995531439781189,0.99,0.989,0.9216531217098236,0.5385284225145975
a1dbfdb26a4eaf3b,03878c8d9b9954cd,final,1.0,1,64,3,converged,0.0756195198059082,0.9738,0.968,1.8034225702285767,0.05170960185681774,0.24256953382935398,7.148637903269004,2.475229501724243,0.4793809950351715,6.409313201904297,3.4675426483154297,1.5481505393981934,0.29983237608265,0.21442747116088867,0.9999178647994995,0.9993590712547302,0.992,0.993,1.0061723689238231,0.3560577829678853
a1dbfdb26a4eaf3b,03878c8d9b9954cd,final,1.0,1,64,4,converged,0.0756195198059082,0.9738,0.968,1.8034225702285767,0.05170960185681774,0.3640959897180225,5.575313091855121,2.4141626358032227,0.3677687644958496,8.323585510253906,3.383746862411499,1.4814457893371582,0.22568052825284216,0.2459142506122589,0.9998014569282532,0.9991474747657776,0.991,0.989,0.990916242202123,0.22950266798337302
64551e6adcfe8b61,03878c8d9b9954cd,step_0000000,0.03125,1,0,1,converged,1.3862946044921876,0.2496,0.256,0.0,,1.9984014443252818e-15,8.087431230653586,3.1112101078033447,0.7160986661911011,3.797456979751587,3.794009208679199,1.8348439931869507,0.4223209767251606,0.14072029292583466,0.9999967217445374,0.9997196197509766,0.992,0.982,0.7785612940788269,0.7549129823843638
64551e6adcfe8b61,03878c8d9b9954cd,step_0000000,0.03125,1,0,2,converged,1.3862946044921876,0.2496,0.256,0.0,,2.3314683517128287e-15,10.673854632791711,2.8233463764190674,0.7486216425895691,3.763105869293213,3.8114309310913086,1.5323883295059204,0.4063189131572288,0.1461678296327591,0.9999758005142212,0.9993117451667786,0.989,0.988,0.7211771011352539,0.6888223687807719
64551e6adcfe8b61,03878c8d9b9954cd,step_0000000,0.03125,1,0,3,converged,1.3862946044921876,0.2496,0.256,0.0,,0.0,13.17694484888675,2.5116138458251953,0.7773213982582092,3.6542835235595703,3.7394051551818848,1.2810767889022827,0.3964814979745464,0.15351954102516174,0.9999489784240723,0.9991095066070557,0.989,0.984,0.6593608061472574,0.6253043214480082
64551e6adcfe8b61,03878c8d9b9954cd,step_0000000,0.03125,1,0,4,converged,1.3862946044921876,0.2496,0.256,0.0,,1.2212453270876722e-15,14.41621406830372,2.382180690765381,0.812596321105957,3.615731716156006,3.7210092544555664,1.1376222372055054,0.38805941077518297,0.16049417853355408,0.9998883008956909,0.999147355556488,0.988,0.986,0.5921048323313395,0.5353928407033285
64551e6adcfe8b61,03878c8d9b9954cd,final,0.03125,1,64,1,converged,0.09527055053710938,0.9846,0.988,0.019929802045226097,0.0024466194164275614,1.7205446845025563e-07,8.087612206369412,3.1106584072113037,0.7159784436225891,3.7968971729278564,3.7939887046813965,1.8347140550613403,0.4222950551406209,0.14072772860527039,0.9999967217445374,0.9997171759605408,0.991,0.985,0.7785260577996572,0.7551355957984924
64551e6adcfe8b61,03878c8d9b9954cd,final,0.03125,1,64,2,converged,0.09527055053710938,0.9846,0.988,0.019929802045226097,0.0024466194164275614,2.0495471547365973e-05,10.673559840269967,2.806469678878784,0.743763267993927,3.7758278846740723,3.8132829666137695,1.5337175130844116,0.4064618042470981,0.14601506292819977,0.9999755024909973,0.9993298053741455,0.989,0.988,0.722283661365509,0.6913145581881205
64551e6adcfe8b61,03878c8d9b9954cd,final,0.03125,1,64,3,converged,0.09527055053710938,0.9846,0.988,0.019929802045226097,0.0024466194164275614,0.00021395803447954442,13.183851504730976,2.516847848892212,0.7779929637908936,3.6652941703796387,3.7450337409973145,1.2849456071853638,0.3971947171126214,0.15359589457511902,0.9999483823776245,0.9992020130157471,0.989,0.986,0.6595166921615601,0.6284583608309428
64551e6adcfe8b61,03878c8d9b9954cd,final,0.03125,1,64,4,converged,0.09527055053710938,0.9846,0.988,0.019929802045226097,0.0024466194164275614,0.0013350748555718273,14.486778108960086,2.385761260986328,0.8118354678153992,3.643886089324951,3.72353196144104,1.149180293083191,0.39104723823141274,0.15975309908390045,0.9998863935470581,0.9988604784011841,0.988,0.989,0.6038263241449991,0.5373194018999735
3c7c28f731ba2310,03878c8d9b9954cd,step_0000000,1.0,0,0,1,converged,1.3862946044921876,0.2496,0.256,0.0,,-1.5543122344752192e-15,8.113568784940572,3.2081000804901123,0.7319629192352295,3.94283390045166,3.8188705444335938,1.831660270690918,0.4179131920078768,0.14107699692249298,0.9999967217445374,0.9996932744979858,0.992,0.988,0.8387134273846945,0.7466577688852946
3c7c28f731ba2310,03878c8d9b9954cd,step_0000000,1.0,0,0,2,converged,1.3862946044921876,0.2496,0.256,0.0,,-6.661338147750939e-16,11.024968655585564,3.032860517501831,0.7879831790924072,4.102787971496582,3.7816810607910156,1.4834010601043701,0.38541008826199413,0.15084631741046906,0.9999750852584839,0.999421238899231,0.99,0.989,0.7672963341077169,0.6514575084050497
3c7c28f731ba2310,03878c8d9b9954cd,step_0000000,1.0,0,0,3,converged,1.3862946044921876,0.2496,0.256,0.0,,-4.440892098500626e-16,13.455427778741797,2.849092483520508,0.8320364356040955,4.171426773071289,3.7365825176239014,1.295362949371338,0.37829209018274507,0.1592388153076172,0.9999350309371948,0.9991989731788635,0.988,0.986,0.7285095453262329,0.5119533538818359
3c7c28f731ba2310,03878c8d9b9954cd,step_0000000,1.0,0,0,4,converged,1.3862946044921876,0.2496,0.256,0.0,,-4.440892098500626e-16,16.049451793418882,2.634141683578491,0.8866051435470581,4.096189498901367,3.590731382369995,1.1050633192062378,0.37194461867056305,0.1677533984184265,0.9998654723167419,0.9984642863273621,0.988,0.981,0.6564131776491801,0.49931101004282635
