profile,layer,gamma,metric,n,mean,lower,upper
03878c8d9b9954cd,1,0.5,mlp_nuisance_cosine,3,0.9996907512346903,0.9996675848960876,0.9997273683547974
03878c8d9b9954cd,1,1.0,mlp_nuisance_cosine,3,0.9996891021728516,0.9996820688247681,0.9997015595436096
03878c8d9b9954cd,1,16.0,mlp_nuisance_cosine,3,0.9996543924013773,0.9996058344841003,0.99970543384552
03878c8d9b9954cd,1,128.0,mlp_nuisance_cosine,3,0.9996640682220459,0.9996241927146912,0.9997005462646484
03878c8d9b9954cd,1,0.03125,ph_h1_top2,3,0.7504020399517484,0.7466897070407867,0.7551355957984924
03878c8d9b9954cd,1,0.5,ph_h1_top2,3,0.7458167837725745,0.7409915824731191,0.7532679239908854
03878c8d9b9954cd,1,1.0,ph_h1_top2,3,0.7322349978817834,0.7200113236904144,0.7400483787059784
03878c8d9b9954cd,1,16.0,ph_h1_top2,3,0.5861982107162476,0.5539225240548452,0.6100025475025177
03878c8d9b9954cd,1,128.0,ph_h1_top2,3,0.4875253505176968,0.4562445978323619,0.5095034738381704
03878c8d9b9954cd,2,0.03125,test_accuracy,3,0.9863333333333334,0.985,0.988
03878c8d9b9954cd,2,0.5,test_accuracy,3,0.975,0.965,0.984
03878c8d9b9954cd,2,1.0,test_accuracy,3,0.967,0.963,0.9700000000000001
03878c8d9b9954cd,2,16.0,test_accuracy,3,0.9753333333333334,0.9620000000000001,0.9860000000000001
03878c8d9b9954cd,2,128.0,test_accuracy,3,0.972,0.951,0.988
03878c8d9b9954cd,2,0.03125,ntk_drift,3,0.02322041429579258,0.019929802045226097,0.029734697192907333
03878c8d9b9954cd,2,0.5,ntk_drift,3,0.6660118798414866,0.4741446077823639,0.9097630381584167
03878c8d9b9954cd,2,1.0,ntk_drift,3,2.5528510014216104,1.8034225702285767,3.631577491760254
03878c8d9b9954cd,2,16.0,ntk_drift,3,156.4264170328776,151.82691955566406,162.52040100097656
03878c8d9b9954cd,2,128.0,ntk_drift,3,4730.867350260417,4304.48291015625,5425.6787109375
03878c8d9b9954cd,2,0.03125,cka_drift,3,2.0509118287104222e-05,1.0821601482136067e-05,3.0210281831810626e-05
03878c8d9b9954cd,2,0.5,cka_drift,3,0.02457570959656204,0.017685113483143056,0.03301687485060545
03878c8d9b9954cd,2,1.0,cka_drift,3,0.08590513666146367,0.0688306743945265,0.09566897479424419
03878c8d9b9954cd,2,16.0,cka_drift,3,0.2610629239000044,0.22721879240978538,0.32329006355670464
03878c8d9b9954cd,2,128.0,cka_drift,3,0.2875568926311722,0.2519562781503939,0.3488896235482744
03878c8d9b9954cd,2,0.03125,effective_rank,3,10.862402376638618,10.673559840269967,11.020676558550766
03878c8d9b9954cd,2,0.5,effective_rank,3,10.009234205440366,9.762215960956164,10.162015891529435
03878c8d9b9954cd,2,1.0,effective_rank,3,8.668816138568692,8.401789867246183,9.033817420713577
03878c8d9b9954cd,2,16.0,effective_rank,3,4.273125875458333,4.115310114009667,4.3714770546324715
03878c8d9b9954cd,2,128.0,effective_rank,3,3.0372085132881073,2.9963972525716773,3.084862627636861
