gamma,seed,layer,noise_level,training_rms,coordinate_noise_sd,angular_cosine,angular_mae
0.5,101,4,0.001,4.730732806989004,0.00029567080043681274,0.9998340220900496,0.014134947335009983
0.5,101,4,0.01,4.730732806989004,0.0029567080043681276,0.9998121286934879,0.014975724643632308
0.5,101,4,0.1,4.730732806989004,0.029567080043681276,0.9990325766743945,0.03493061359485677
0.5,102,4,0.0,4.598480647558068,0.0,0.9998509150175103,0.013568788711726629
0.5,102,4,0.001,4.598480647558068,0.00028740504047237926,0.9998493751982321,0.013638448136687015
0.5,102,4,0.01,4.598480647558068,0.0028740504047237926,0.999835071679549,0.014409306766126643
0.5,102,4,0.1,4.598480647558068,0.028740504047237925,0.999260012016255,0.030553838578230682
1.0,100,4,0.0,7.104337732406591,0.0,0.9998254174287962,0.014654973007969987
1.0,100,4,0.001,7.104337732406591,0.0004440211082754119,0.999823578038642,0.014716755151866993
1.0,100,4,0.01,7.104337732406591,0.004440211082754119,0.9997933976365744,0.015935397885485723
1.0,100,4,0.1,7.104337732406591,0.0444021108275412,0.9984486591934854,0.044167390193043304
1.0,101,4,0.0,6.828640025792728,0.0,0.9998096186762189,0.01551329094467703
1.0,101,4,0.001,6.828640025792728,0.0004267900016120455,0.9998088262836969,0.01556336380138349
1.0,101,4,0.01,6.828640025792728,0.0042679000161204555,0.9997839610573145,0.01660589093168222
1.0,101,4,0.1,6.828640025792728,0.04267900016120455,0.9984521005327801,0.044187375065408006
1.0,102,4,0.0,7.0933187415359065,0.0,0.999761133666697,0.017455591414095847
1.0,102,4,0.001,7.0933187415359065,0.0004433324213459942,0.999756730993529,0.017587594890585742
1.0,102,4,0.01,7.0933187415359065,0.004433324213459941,0.9997276371244087,0.01867889290514114
1.0,102,4,0.1,7.0933187415359065,0.04433324213459942,0.9984939396970062,0.043988431874107975
2.0,100,4,0.0,9.629112855535697,0.0,0.9995896515227771,0.022570816264223616
2.0,100,4,0.001,9.629112855535697,0.000601819553470981,0.999585322260029,0.022669285082091022
2.0,100,4,0.01,9.629112855535697,0.006018195534709811,0.9994828596482824,0.025394508353131933
2.0,100,4,0.1,9.629112855535697,0.06018195534709811,0.9950965732302536,0.07878866591337101
2.0,101,4,0.0,9.538571707518306,0.0,0.9995649313343429,0.023265645658982894
2.0,101,4,0.001,9.538571707518306,0.0005961607317198942,0.9995673001254322,0.023227789875243456
2.0,101,4,0.01,9.538571707518306,0.0059616073171989414,0.9994889959251002,0.02524614403254334
